时间,水深(mm),雨量(mm)
2019/8/27 22:26,0,0
2019/8/27 23:26,0,0
2019/8/28 0:26,0,0
2019/8/28 1:26,0,0
2019/8/28 2:26,0,0
2019/8/28 3:26,0,0
2019/8/28 4:26,0,0
2019/8/28 5:26,0,0
2019/8/28 6:26,0,0
2019/8/28 7:26,0,0
2019/8/28 8:26,0,0
2019/8/28 9:26,0,0
2019/8/28 10:26,0,0
2019/8/28 11:26,0,0
2019/8/28 12:26,0,0
2019/8/28 13:26,0,0
2019/8/28 13:46,0,0.2
2019/8/28 13:51,10,7.6
2019/8/28 13:56,0,3.2
2019/8/28 14:01,0,0.4
2019/8/28 14:06,0,0.6
2019/8/28 14:11,0,0.4
2019/8/28 14:26,0,0
2019/8/28 15:26,0,0
2019/8/28 16:26,0,0
2019/8/28 17:26,0,0
2019/8/28 18:26,0,0
2019/8/28 18:31,20,0
2019/8/28 18:36,20,0
2019/8/28 19:26,0,0
2019/8/28 20:26,0,0
2019/8/28 21:26,0,0
2019/8/28 22:26,0,0
2019/8/28 23:26,0,0
2019/8/29 0:26,0,0
2019/8/29 1:26,0,0
2019/8/29 2:26,0,0
2019/8/29 3:26,0,0
2019/8/29 4:26,0,0
2019/8/29 5:26,0,0
2019/8/29 6:11,0,0.2
2019/8/29 6:26,0,0
2019/8/29 7:26,0,0
2019/8/29 8:16,0,1.8
2019/8/29 8:21,0,1.4
2019/8/29 8:26,0,0
2019/8/29 8:51,0,0.2
2019/8/29 9:06,0,0.2
2019/8/29 9:26,0,0
2019/8/29 9:41,0,0.2
2019/8/29 9:46,0,0.2
2019/8/29 10:26,0,0
2019/8/29 11:26,0,0
2019/8/29 12:26,0,0
2019/8/29 13:26,0,0
2019/8/29 14:26,0,0
2019/8/29 15:26,0,0
2019/8/29 16:26,0,0
2019/8/29 17:26,0,0
2019/8/29 18:26,0,0
2019/8/29 19:26,0,0
2019/8/29 20:26,0,0
2019/8/29 21:26,0,0
2019/8/29 22:11,0,0.2
